ID,Vazao Media,Vazao atual,Milimitro hora,Milimitro do dia,Milimitro em sete dias,Temperatura,Velocidade do Vento,Costa,Cidade,Vegetacao,Montanha,Solo,Notas,Alagou
0,28423,47261,4,7,163,14,12,True,False,False,True,argiloso,,True
1,16831,1208160,46,40,95,29,40,False,False,False,False,Arenoso,Historicamente alagavel,True
2,150046,110344,4,24,100,10,7,True,False,True,False,Argiloso,,False
3,24229,34220,0,63,86,29,27,True,True,True,True,ARGILOSO,,False
4,32992,54612,41,37,101,31,31,False,True,True,True,Arenoso,,True
5,27106,36308,12,40,38,15,24,False,False,True,False,Argiloso,,False
6,67752,60200,11,6,49,-2,33,False,True,True,False,Arenoso,,False
7,62390,97624,0,54,279,-1,6,False,False,True,True,Argiloso,,True
8,182416,203813,6,27,81,29,13,True,False,False,False,Arenoso,,False
9,101900,176808,36,68,230,24,39,False,True,True,True,humifero,,True
